place,lat,lon
Puducherry,12,80
Kanchipuram,12.25,80
Kanchipuram,12.5,80
Kanchipuram,12.75,80
Thiruvallur,13,80
Thiruvallur,13.25,80
Chittoor,13.5,80
Nellore,13.75,80
Nellore,14,80
Nellore,14.25,80
Nellore,14.5,80
Nellore,14.75,80
Prakasam,15,80
Prakasam,15.25,80
Prakasam,15.5,80
Prakasam,15.75,80
Prakasam,16,80
Guntur,16.25,80
Guntur,16.5,80
Suryapet,16.75,80
Viluppuram,12,80.25
Cuddalore,12.25,80.25
Kanchipuram,12.5,80.25
Kanchipuram,12.75,80.25
Thiruvallur,13.25,80.25
Thiruvallur,13.5,80.25
Nellore,13.75,80.25
Nellore,14,80.25
Nellore,14.25,80.25
Nellore,14.5,80.25
Nellore,14.75,80.25
Nellore,15,80.25
Prakasam,15.25,80.25
Prakasam,15.5,80.25
Prakasam,15.75,80.25
Guntur,16,80.25
Guntur,16.25,80.25
Guntur,16.5,80.25
Krishna,16.75,80.25
Kanchipuram,12,80.5
Kanchipuram,12.25,80.5
Kanchipuram,12.5,80.5
Kanchipuram,12.75,80.5
Thiruvallur,13.5,80.5
Nellore,13.75,80.5
Nellore,14,80.5
Nellore,14.25,80.5
Nellore,14.5,80.5
Nellore,14.75,80.5
Nellore,15,80.5
Prakasam,15.25,80.5
Prakasam,15.5,80.5
Guntur,15.75,80.5
Guntur,16,80.5
Guntur,16.25,80.5
Puducherry,12,80.75
Kanchipuram,12.25,80.75
Kanchipuram,12.5,80.75
Thiruvallur,12.75,80.75
Nellore,13.75,80.75
Nellore,14,80.75
Nellore,14.25,80.75
Nellore,14.5,80.75
Nellore,14.75,80.75
Nellore,15,80.75
Krishna,15.25,80.75
Krishna,15.5,80.75
Krishna,15.75,80.75
Guntur,16,80.75
Guntur,16.25,80.75
Kanchipuram,12.75,81
Thiruvallur,13.5,81
Nellore,13.75,81
Nellore,14,81
Krishna,15,81
Krishna,15.25,81
Krishna,15.5,81
Krishna,15.75,81
Krishna,16,81
Krishna,16.25,81
Krishna,15.25,81.25
Krishna,15.5,81.25
Krishna,15.75,81.25
Krishna,16,81.25
Krishna,16.25,81.25
Krishna,15.25,81.5
Krishna,15.5,81.5
Krishna,15.75,81.5
Krishna,16,81.5
West Godavari,16.25,81.5
